Textbox20
"MassDOT makes no representation as to the accuracy, adequacy, reliability, availability or completeness of the crash records or the data collected from them and is not responsible for any errors or omissions in such records or data. Under no circumstance will MassDOT have any liability for any loss or damage incurred by any party as a result of the use of the crash records or the data collected from them. Furthermore, the data contained in the web-based crash report tool are not an official record of what transpired in a particular crash or for a particular crash type. If a user is interested in an official copy of a crash report, contact the Registry (http://www.mass.gov/rmv/).

The City of Boston Police Department may be contacted directly for official copies of crash reports and for crash data pertaining to the City of Boston. In addition, any crash records or data provided for the years 2022 and later are subject to change at any time and are not to be considered up-to-date or complete. As such, open years’ of crash data are for informational purposes only and should not be used for analysis.
4703620,SOMERVILLE,20-May-2019,6:05 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with light pole or other post/support),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Wet,Daylight,Cloudy/Rain,Rte 16 E / MYSTIC VALLEY PARKWAY Rte SR16 E / AUBURN STREET,Rte 16 E / MYSTIC VALLEY PARKWAY Rte SR16 E / AUBURN STREET,,,,,230711.54624717,907563.48417295
4715205,SOMERVILLE,20-May-2019,7:35 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Turning right,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,CROSS STREET / PEARL STREET,CROSS STREET / PEARL STREET,,,,,233939.79694485,903991.31262685
4705365,SOMERVILLE,21-May-2019,2:25 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Changing lanes / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear/Cloudy,,Rte 93 N,,Exit 28-29 on Rte 93 N,,,,
4712025,SOMERVILLE,21-May-2019,4:30 PM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: N  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,MCGRATH HIGHWAY Rte UNKNOW N / WASHINGTON STREET,,,,,233775.4060327,903343.81233824
4714861,SOMERVILLE,23-May-2019,9:13 AM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,MEDFORD ST / PARTRIDGE AV,MEDFORD ST / PARTRIDGE AV,,,,,232710.43732771,905040.56241982
4705522,SOMERVILLE,23-May-2019,11:08 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Parked,V1: N  / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Other),Dry,Dark - lighted roadway,Clear/Rain,,Rte 93 N,,Exit 28 on Rte 93 N,,,234954.6713138,903171.19704208
4714862,SOMERVILLE,24-May-2019,11:01 AM,Not Reported,Unknown,2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Clear,BROADWAY / CHANDLER ST,BROADWAY / CHANDLER ST,,,,,231292.70318238,905668.24984441
4714971,SOMERVILLE,24-May-2019,5:02 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Cloudy,KENT ST / SOMERVILLE AV,KENT ST / SOMERVILLE AV,,,,,232141.57921518,903788.54475466
4705368,SOMERVILLE,24-May-2019,9:05 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,Rte 16 E / MYSTIC VALLEY PARKWAY Rte SR16 E / BOSTON AVENUE,Rte 16 E / MYSTIC VALLEY PARKWAY Rte SR16 E / BOSTON AVENUE,,,,,230500.0313,907407.2502
4714863,SOMERVILLE,25-May-2019,11:21 AM,Non-fatal injury,Possible Injury (C),2,1,0,"Sideswipe, opposite direction",V2: Turning left / V1: Travelling straight ahead,V2: S  / V1: W,V2:(Collision with motor vehicle in traffic) / V1:(Collision with motor vehicle in traffic),"V2:(Light truck(van, mini-van, pickup, sport utility)) / V1:(Passenger car)",Dry,Daylight,Clear,SUMMER ST / VINAL AV,SUMMER ST / VINAL AV,,,,,233075.78107205,903602.49982648
4714972,SOMERVILLE,25-May-2019,9:13 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Head-on,V1: Turning left,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Dark - lighted roadway,Clear,LOWELL ST / SOMERVILLE AV,LOWELL ST / SOMERVILLE AV,,,, VU2: Bicyclist,231969.29275101,903855.67870672
4714864,SOMERVILLE,25-May-2019,11:16 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: N  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,,65 FLORENCE ST,,,,,234384.2356593,903857.6730175
4712034,SOMERVILLE,26-May-2019,9:50 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Changing lanes / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,Rte 28 S / Rte MIDDLE,,,NORTH from MIDDLESEX AVE,,,
4705370,SOMERVILLE,26-May-2019,10:18 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Other),V1:(Motorcycle),Not reported,Daylight,Clear,,Rte 93 S,,Exit 28 on Rte 93 S,RAMP TO SULLIVAN SQ/MYSTIC AVE,,234108.23329701,904851.77214765
4711976,SOMERVILLE,26-May-2019,3:55 PM,Not Reported,No Apparent Injury (O),2,0,0,Rear-end,V1: Not reported / V2: Leaving traffic lane,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(MOPED) / V2:(Passenger car),Dry,Daylight,Clear,,MYSTIC AVENUE,,,STOP AND SHOP ENTRANCE,,234232.94863279,904606.14148034
4714865,SOMERVILLE,26-May-2019,7:57 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Backing / V2: Parked,V1: E  / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Dusk,Clear,,259 SOMERVILLE AV,,,,,233500.60767598,903217.98316564
4714866,SOMERVILLE,27-May-2019,10:10 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,REVOLUTION DRIVE,,,HOME DEPOT LOT ENTRANCE,,234515.42848371,904530.11242824
4711978,SOMERVILLE,28-May-2019,2:20 PM,Non-fatal injury,Possible Injury (C),3,2,0,Rear-end,V1: Travelling straight ahead / V2: Turning right / V3: Slowing or stopped in traffic,V1: W  / V2: W  / V3: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Other),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car) / V3:(Passenger car)",Wet,Daylight,Cloudy,,MYSTIC VALLEY PARKWAY Rte UNKNOW / MYSTIC VALLEY-ALEWIFE BROOK ROTARY,,,,,230337.8825735,907201.77125384
4711980,SOMERVILLE,28-May-2019,5:35 PM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: N  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Truck/trailer),Dry,Daylight,Cloudy,,MYSTIC AVENUE Rte UNKNOW N / RAMP-MYSTIC AVE NB TO RT 93 NB,,,,,234381.53108926,904544.43749136
4711981,SOMERVILLE,29-May-2019,1:35 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,150 feet N from Intersection  FELLSWAY Rte SR28 N / GRAND UNION BOULEVARD,200 feet N from Milemarker 126.4,,,,234249.31536402,905407.52198848
4711985,SOMERVILLE,30-May-2019,3:02 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,MYSTIC AVENUE Rte SR38 S / RAMP-RT 28 NB/MYSTIC AVE SB TO RT 93 SB,,,TO RT. 93S ONRAMP,,234167.36113348,904705.76911339
4726425,SOMERVILLE,01-Jun-2019,10:45 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),,Daylight,Clear,,38 MORRISON AV,,,,,231903.13202929,905002.7364998
4711986,SOMERVILLE,01-Jun-2019,11:45 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,INTERSTATE 93 Rte I93 S,,Exit 26 on INTERSTATE 93 Rte I93 S,,,,
4726426,SOMERVILLE,01-Jun-2019,4:00 PM,Non-fatal injury,Possible Injury (C),2,1,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),,Daylight,Cloudy,,75 MYSTIC AV,,,,,234663.9019768,904258.36536528
4726427,SOMERVILLE,01-Jun-2019,6:42 PM,Non-fatal injury,Suspected Minor Injury (B),3,1,0,Rear-end,V1: Entering traffic lane / V2: Travelling straight ahead / V3: Parked,V1: W  / V2: W  / V3: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Motorcycle) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",,Daylight,Cloudy,,59 ALBION ST,,,,,232470.93613007,904552.95155303
4726428,SOMERVILLE,02-Jun-2019,10:29 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Making U-turn / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",,Daylight,Cloudy/Clear,,252 MEDFORD STREET,,,,,,
4712906,SOMERVILLE,02-Jun-2019,5:15 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,Rte SR28 N / GRAND UNION BOULEVARD Rte,,,,,234224.8283,905308.7501
4726429,SOMERVILLE,03-Jun-2019,1:36 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Angle,V1: Making U-turn / V2: Turning right,V1: E  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Motorcycle),,Daylight,Clear,CEDAR ST / ELM ST,CEDAR ST / ELM ST,,,,,231667.3751,904228.6251
4719580,SOMERVILLE,03-Jun-2019,7:00 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,Rte SR28 S / WASHINGTON STREET,,,,,233766.84440401,903386.07704459
4726430,SOMERVILLE,04-Jun-2019,12:59 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,"Sideswipe, opposite direction",V1: Travelling straight ahead,V1: S,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),,Daylight,Clear,DAY ST / COLLEGE AVE,DAY ST / COLLEGE AVE,,,, VU2: Bicyclist,231089.8908,905148.4377
4726431,SOMERVILLE,04-Jun-2019,3:16 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Angle,V1: Turning right,V1: N,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),,Daylight,Clear,,DANE ST / TYLER ST,,,, VU2: Bicyclist,232597.81703869,903485.2499836
4726529,SOMERVILLE,04-Jun-2019,6:00 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Making U-turn / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",,Dusk,Cloudy,,DANE STREET / SOMERVILLE AVENUE,,,,,232636.63420693,903573.26145055
4726432,SOMERVILLE,05-Jun-2019,6:30 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Angle,V1: Turning left,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),,Daylight,Cloudy,BEACON ST / WASHINGTON ST,BEACON ST / WASHINGTON ST,,,, VU3: Bicyclist,232416.5155,903161.5624
4726433,SOMERVILLE,06-Jun-2019,4:20 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",,Daylight,Clear,,54 CURTIS ST,,,,,230784.71168443,906137.66058169
4726528,SOMERVILLE,09-Jun-2019,1:56 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: E  / V2: W,V1:(Collision with moped) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Unknown vehicle configuration)",,Daylight,Clear,,275 BEACON STREET,,,,,231934.82243099,903683.24105732
4711996,SOMERVILLE,09-Jun-2019,8:35 PM,Not Reported,Not reported,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with median barrier),V1:(Passenger car),Dry,Dusk,Clear,,MYSTIC AVENUE Rte UNKNOW / RAMP-MYSTIC AVE NB TO RT 93 NB,,,,,234381.53108926,904544.43749136
4711997,SOMERVILLE,10-Jun-2019,7:05 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Turning left / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,392 ALEWIFE BROOK PARKWAY Rte UNKNOW,,,,,230353.51011467,907126.0457163
4712732,SOMERVILLE,10-Jun-2019,9:35 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Collision with work zone maintenance equipment),V1:(Passenger car),Dry,Dark - lighted roadway,Clear,,INTERSTATE 93 Rte I93 N,,Exit 28 on INTERSTATE 93 Rte I93 N,,,234954.6713138,903171.19704208
4726434,SOMERVILLE,11-Jun-2019,2:09 AM,Unknown,Not reported,2,0,0,Angle,V1: Travelling straight ahead / V2: Parked,V1: E  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),,Dark - lighted roadway,Rain/Rain,,93 MT VERNON ST,,,,,234460.09702205,903644.8163237
4726435,SOMERVILLE,11-Jun-2019,6:49 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,"Sideswipe, same direction",V1: Travelling straight ahead,V1: E,V1:(Unknown),V1:(Passenger car),,Daylight,Rain/Rain,,236 ELM ST,,,, VU2: Bicyclist,231144.81668018,905028.18921285
4712909,SOMERVILLE,11-Jun-2019,10:10 AM,Non-fatal injury,Possible Injury (C),2,1,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,Rain,,Rte SR28 S / SHORE DRIVE,,,,,,
4726436,SOMERVILLE,11-Jun-2019,7:02 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: E  / V2: E,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",,Daylight,Clear,CEDAR ST / HIGHLAND,CEDAR ST / HIGHLAND,,,,,231914.8124,904706.9376
4726437,SOMERVILLE,12-Jun-2019,8:06 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: N  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",,Daylight,Clear/Clear,CENTURY ST / MEACHAM ST,CENTURY ST / MEACHAM ST,,,,,233226.797,905306.8751
4726438,SOMERVILLE,12-Jun-2019,9:46 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),,Daylight,Clear,,COLLEGE AVENUE / POWDER HOUSE ROTARY,,,,,231461.81024424,905585.14467871
4726439,SOMERVILLE,13-Jun-2019,8:54 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Angle,V1: Travelling straight ahead,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",,Other,Rain/Other,BARTLETT ST / MEDFORD ST,BARTLETT ST / MEDFORD ST,,,, VU3: Bicyclist,232782.6094,904919.8123
4713965,SOMERVILLE,13-Jun-2019,5:00 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Daylight,Rain,,INTERSTATE 93 Rte 93 N,,Exit 28 on INTERSTATE 93 Rte 93 N,SOUTH from EXIT 28,,234954.6717,903171.1974
